X,Y,ExtractDate,Week,TotalweeklyVaccines,Male,Female,NA,Moderna,Pfizer,Janssen,AstraZeneca,Partial_Age10to19,Partial_Age20to29,Partial_Age30to39,Partial_Age40to49,Partial_Age50to59,Partial_Age60to69,Partial_Age70to79,Partial_Age80_,Partial_NA,ParCum_Age10to19,ParCum_Age20to29,ParCum_Age30to39,ParCum_Age40to49,ParCum_Age50to59,ParCum_Age60to69,ParCum_Age70to79,ParCum_80_,ParCum_NA,ParPer_Age10to19,ParPer_Age20to29,ParPer_Age30to39,ParPer_Age40to49,ParPer_Age50to59,ParPer_Age60to69,ParPer_Age70to79,ParPer_80_,ParPer_NA,Fully_Age10to19,Fully_Age20to29,Fully_Age30to39,Fully_Age40to49,Fully_Age50to59,Fully_Age60to69,Fully_Age70to79,Fully_Age80_,Fully_NA,FullyCum_Age10to19,FullyCum_Age20to29,FullyCum_Age30to39,FullyCum_Age40to49,FullyCum_Age50to59,FullyCum_Age60to69,FullyCum_Age70to79,FullyCum_80_,FullyCum_NA,FullyPer_Age10to19,FullyPer_Age20to29,FullyPer_Age30to39,FullyPer_Age40to49,FullyPer_Age50to59,FullyPer_Age60to69,FullyPer_Age70to79,FullyPer_80_,FullyPer_NA,ObjectId
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2020-W53,3941,1247,2694,0,2,3935,0,4,5,805,1057,1016,769,258,14,14,1,5,805,1057,1016,769,258,14,14,1,7.32E-06,0.001337369,0.001525653,0.001325407,0.001238002,0.000521122,4.15E-05,7.95E-05,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W01,43844,11711,32133,0,9,43818,0,17,91,6874,10091,12159,9610,3838,355,810,3,96,7679,11148,13175,10379,4096,369,824,4,0.000140501,0.01275734,0.016090806,0.017187241,0.016709007,0.00827331,0.001094829,0.004680302,Inf,0,1,5,1,2,0,2,2,0,0,1,5,1,2,0,2,2,0,0,1.66E-06,7.22E-06,1.30E-06,3.22E-06,0,5.93E-06,1.14E-05,,2
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W02,52653,13874,38779,0,1922,50708,1,22,169,5736,9279,12352,11372,6054,2122,5543,10,265,13415,20427,25527,21751,10150,2491,6367,14,0.000387843,0.022286719,0.029483934,0.03330085,0.03501663,0.020501489,0.007390836,0.036164424,Inf,0,6,6,2,2,0,1,0,0,0,7,11,3,4,0,3,2,0,0,1.16E-05,1.59E-05,3.91E-06,6.44E-06,0,8.90E-06,1.14E-05,,3
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W03,49683,14771,34911,1,17,49634,0,32,271,4230,6567,7926,7844,5045,3655,10784,12,536,17645,26994,33453,29595,15195,6146,17151,26,0.000784466,0.029314137,0.038962614,0.04364059,0.047644576,0.030691637,0.018235278,0.097417314,Inf,3,650,884,862,691,239,9,10,1,3,657,895,865,695,239,12,12,1,4.39E-06,0.001091493,0.001291826,0.001128422,0.001118871,0.000482744,3.56E-05,6.82E-05,Inf,4
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W04,51369,14850,36519,0,6,51316,0,47,18,1014,1344,1742,1509,1505,1028,505,1,554,18659,28338,35195,31104,16700,7174,17656,27,0.00081081,0.030998724,0.040902517,0.045913089,0.050073894,0.033731513,0.021285371,0.100285703,Inf,82,6636,9756,11958,9403,3791,352,722,3,85,7293,10651,12823,10098,4030,364,734,4,0.000124402,0.012116067,0.015373446,0.016728045,0.016256629,0.00814,0.001079994,0.004169104,Inf,5
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W05,56257,14593,41664,0,25,56160,0,72,47,1435,1876,2142,1929,959,236,294,1,601,20094,30214,37337,33033,17659,7410,17950,28,0.000879598,0.03338273,0.043610299,0.048707402,0.053179364,0.035668551,0.021985586,0.101955617,Inf,155,5245,8407,11108,10312,5393,1826,4883,9,240,12538,19058,23931,20410,9423,2190,5617,13,0.000351254,0.020829734,0.027507946,0.031218813,0.032857773,0.019033057,0.006497764,0.03190444,Inf,6
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W06,32157,9830,22327,0,1959,15220,0,14978,85,3162,4508,5810,5590,3246,1509,2135,6,686,23256,34722,43147,38623,20905,8919,20085,34,0.001004,0.03863585,0.050117058,0.056286747,0.062178627,0.042224987,0.026462813,0.114082371,Inf,18,758,1177,1668,1287,644,226,328,0,258,13296,20235,25599,21697,10067,2416,5945,13,0.000377598,0.022089021,0.029206805,0.033394777,0.034929696,0.020333841,0.00716831,0.033767473,Inf,7
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W07,86409,25722,60686,1,1168,62724,1,22516,187,4673,5352,6432,6313,3540,861,16143,0,873,27929,40074,49579,44936,24445,9780,36228,34,0.001277685,0.046399237,0.057842031,0.064677513,0.072341837,0.04937526,0.029017413,0.205774266,Inf,244,4004,6208,7552,7413,4797,3217,9464,10,502,17300,26443,33151,29110,14864,5633,15409,23,0.000734705,0.028740979,0.038167311,0.043246621,0.046863781,0.030023067,0.016713199,0.087522791,Inf,8
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W08,88541,28718,59821,2,4444,51298,9,32790,346,6122,7273,9166,8664,5045,4033,37480,2,1219,34051,47347,58745,53600,29490,13813,73708,36,0.001784076,0.056569889,0.068339737,0.076634875,0.086289889,0.059565409,0.040983388,0.418659866,Inf,32,1204,1597,2003,1921,1747,1092,823,0,534,18504,28040,35154,31031,16611,6725,16232,23,0.000781539,0.030741218,0.04047239,0.045859603,0.049956372,0.033551747,0.01995318,0.092197413,Inf,9
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W09,88239,31767,56466,6,7389,52867,3,27980,255,4808,5724,7466,7017,4895,9463,40555,0,1474,38859,53071,66211,60617,34385,23276,114263,36,0.002157283,0.064557555,0.076601647,0.086374529,0.097586459,0.06945258,0.069060257,0.6490114,Inf,32,1183,1565,1810,1721,857,321,568,2,566,19687,29605,36964,32752,17468,7046,16800,25,0.000828373,0.03270657,0.04273128,0.048220811,0.052726986,0.035282759,0.020905593,0.095423641,Inf,10
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W10,91252,34321,56928,3,4043,52973,5,34231,395,5830,6859,8689,8361,5922,9157,33970,0,1869,44689,59930,74900,68978,40307,32433,148233,36,0.002735387,0.074243099,0.086501794,0.097709629,0.111046716,0.081414138,0.09622922,0.841960274,Inf,25,980,1489,1934,2053,1647,1537,2409,0,591,20667,31094,38898,34805,19115,8583,19209,25,0.000864962,0.034334671,0.044880474,0.05074378,0.056032082,0.038609454,0.025465896,0.10910671,Inf,11
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W11,64459,27840,36617,2,1744,61718,7,990,66,372,513,531,641,861,18048,22446,0,1935,45061,60443,75431,69619,41168,50481,170679,36,0.002831982,0.074861113,0.087242248,0.098402337,0.112078653,0.08315323,0.149777919,0.969453075,Inf,33,573,837,878,1020,800,872,15975,0,624,21240,31931,39776,35825,19915,9455,35184,25,0.000913259,0.035286612,0.046088583,0.051889162,0.057674166,0.040225335,0.028053133,0.199844369,Inf,12
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W12,133110,56983,76122,5,7894,86414,5,38797,645,5930,6670,8692,9627,9331,40740,7056,2,2580,50991,67113,84123,79246,50499,91221,177735,38,0.003775976,0.08471279,0.096869596,0.10974135,0.127577025,0.102000461,0.270654138,1,Inf,26,421,578,659,814,1121,3775,37028,0,650,21661,32509,40435,36639,21036,13230,72212,25,0.000951312,0.035986032,0.046922857,0.05274885,0.058984613,0.042489588,0.039253618,0.410162618,Inf,13
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W13,139843,64416,75419,8,12718,91408,4,35713,616,5810,6165,7789,8652,9677,44642,4077,1,3196,56801,73278,91912,87898,60176,135863,181812,39,0.004677527,0.094365107,0.105768037,0.119902369,0.141505759,0.12154656,0.403107652,1,Inf,26,321,429,419,514,1063,9346,40300,0,676,21982,32938,40854,37153,22099,22576,112512,25,0.000989364,0.036519318,0.047542067,0.05329545,0.059812094,0.044636689,0.066983346,0.639065757,Inf,14
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W14,130921,62643,68275,3,8383,91621,10,30907,522,3997,4549,6610,8373,10686,51746,1453,0,3718,60798,77827,98522,96271,70862,187609,183265,39,0.005441504,0.101005436,0.112333975,0.128525341,0.154985334,0.143130688,0.556638846,1,Inf,43,170,277,268,385,698,8523,32631,0,719,22152,33215,41122,37538,22797,31099,145143,25,0.001052297,0.036801744,0.047941884,0.053645065,0.0604319,0.046046545,0.092271221,0.82440914,Inf,15
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W15,155609,75909,79694,6,4834,140974,9,9792,227,1241,2093,3573,5533,14926,83841,1107,0,3945,62039,79920,102095,101804,85788,271450,184372,39,0.005773731,0.103067144,0.115354971,0.133186443,0.163892833,0.173278986,0.805396408,1,Inf,45,228,318,356,398,710,18664,22358,0,764,22380,33533,41478,37936,23507,49763,167501,25,0.001118157,0.037180527,0.048400879,0.054109479,0.061072635,0.04748064,0.147647602,0.951402103,Inf,16
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W16,188519,92862,95629,28,12491,125276,0,50752,1370,2425,4052,7717,13755,51980,55607,639,2,5315,64464,83972,109812,115559,137768,327057,185011,41,0.007778804,0.107095865,0.121203548,0.143253535,0.186036815,0.278270846,0.970383249,1,Inf,200,332,588,739,688,1174,40076,7175,0,964,22712,34121,42217,38624,24681,89839,174676,25,0.001410869,0.037732088,0.049249586,0.05507353,0.062180236,0.049851945,0.266553722,0.992155949,Inf,17
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W17,211389,103516,107843,30,14519,117909,5,78956,910,6254,9874,18112,29802,82858,12256,573,1,6225,70718,93846,127924,145361,220626,339313,185584,42,0.00911064,0.117485812,0.135455488,0.166881263,0.234014637,0.445631668,1,1,Inf,80,158,272,330,463,1153,43921,4377,0,1044,22870,34393,42547,39087,25834,133760,179053,25,0.001527953,0.037994577,0.049642186,0.055504026,0.062925614,0.052180833,0.396868018,1,Inf,18
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W18,245813,122450,123350,13,9920,114640,270,120983,1470,6157,9971,17004,26865,123278,2808,312,2,7695,76875,103817,144928,172226,343904,342121,185896,44,0.011262069,0.12771461,0.149847435,0.189063566,0.277264224,0.694634872,1,1,Inf,114,260,494,747,1465,3370,50296,1470,0,1158,23130,34887,43294,40552,29204,184056,180523,25,0.001694799,0.038426523,0.050355216,0.056478514,0.065284097,0.058987731,0.546097039,1,Inf,19
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W19,323050,162856,160170,24,22476,209649,808,90117,1520,6679,10363,16381,93477,85940,1909,234,0,9215,83554,114180,161309,265703,429844,344030,186130,44,0.013486675,0.138810622,0.164805187,0.210433145,0.427751537,0.868220875,1,1,Inf,507,1012,1657,2985,5034,11207,83695,1258,0,1665,24142,36544,46279,45586,40411,267751,181781,25,0.002436822,0.040107787,0.052746897,0.060372549,0.073388263,0.081624203,0.794421417,1,Inf,20
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W20,331161,169014,162092,55,42630,243495,28915,16121,1870,7871,13130,19980,176936,22580,1015,118,2,11085,91425,127310,181289,442639,452424,345045,186248,46,0.016223526,0.151886937,0.183756773,0.236497743,0.712598324,0.913829113,1,1,Inf,1015,2828,4514,8052,42181,13750,43538,694,2,2680,26970,41058,54331,87767,54161,311289,182475,27,0.003922332,0.044806023,0.059262317,0.07087666,0.141294863,0.109397155,0.923599346,1,Inf,21
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W21,305351,142362,162935,54,27212,196430,27400,54309,2150,9973,15159,52309,85336,9408,772,124,2,13235,101398,142469,233598,527975,461832,345817,186372,48,0.019370173,0.168455363,0.205636978,0.304736634,0.849979554,0.932831872,1,1,Inf,1209,14318,19756,31126,66170,15518,8914,507,0,3889,41288,60814,85457,153937,69679,320203,182982,27,0.005691772,0.068592921,0.087777742,0.111481599,0.247821019,0.140741205,0.950047324,1,Inf,22
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W22,277069,133110,143908,51,44856,183101,13250,35862,2107,9340,13142,108356,31896,5456,587,112,1,15342,110738,155611,341954,559871,467288,346404,186484,49,0.022453887,0.183972169,0.224605885,0.446090767,0.901328478,0.943852179,1,1,Inf,1954,12489,17378,26762,45144,12811,2467,316,1,5843,53777,78192,112219,199081,82490,322670,183298,28,0.008551562,0.08934125,0.112860809,0.146393549,0.320497712,0.166617517,0.957366952,1,Inf,23
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W23,290226,144960,145251,15,37937,232848,477,18964,1540,8943,13865,128821,8383,2178,338,58,1,16882,119681,169476,470775,568254,469466,346742,186542,50,0.024707764,0.198829428,0.244618356,0.614142197,0.914824152,0.948251415,1,1,Inf,1640,9275,12448,19811,65467,15804,1902,228,1,7483,63052,90640,132030,264548,98294,324572,183526,29,0.010951795,0.10475007,0.13082801,0.172237681,0.425892118,0.198539244,0.963010215,1,Inf,24
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W24,356909,177056,179825,28,46171,227710,2603,80425,2381,8392,13146,61787,5309,2067,344,69,0,19263,128073,182622,532562,573563,471533,347086,186611,50,0.028192493,0.212771295,0.263593036,0.694745466,0.923371037,0.952426447,1,1,Inf,2346,16593,22667,33663,145691,38144,6684,225,4,9829,79645,113307,165693,410239,136438,331256,183751,33,0.014385299,0.13231649,0.163545116,0.216152224,0.660438018,0.275584444,0.982841748,1,Inf,25
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W25,369915,188133,181721,61,28643,220810,4462,116000,1984,10076,25651,60061,4382,2555,423,65,6,21247,138149,208273,592623,577945,474088,347509,186676,56,0.031096189,0.229510839,0.30061719,0.773097108,0.930425557,0.957587167,1,1,Inf,2787,16157,21302,48433,85681,85171,9427,210,6,12616,95802,134609,214126,495920,221609,340683,183961,39,0.018464231,0.15915857,0.194292007,0.27933474,0.798374659,0.447617182,1,1,Inf,26
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W26,370393,190825,179527,41,53527,215779,3575,97512,2267,11644,66796,37328,3062,1831,283,60,3,23514,149793,275069,629951,581007,475919,347792,186736,59,0.034414072,0.248855345,0.397029234,0.821792769,0.935355028,0.961285514,1,1,Inf,2182,10691,14769,91971,39833,88259,2813,174,2,14798,106493,149378,306097,535753,309868,343496,184135,41,0.021657712,0.176919831,0.215609294,0.399314076,0.862501248,0.62588722,1,1,Inf,27
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W27,390759,204514,186162,83,28774,217103,32668,112214,6560,35294,62971,15208,2863,1718,250,61,14,30074,185087,338040,645159,583870,477637,348042,186797,73,0.044015004,0.307490265,0.487920348,0.841632129,0.939964132,0.964755618,1,1,Inf,5675,29438,22315,113101,22197,104152,1497,100,13,20473,135931,171693,419198,557950,414020,344993,184235,54,0.029963396,0.225826012,0.24781833,0.546858225,0.898235887,0.836258751,1,1,Inf,28
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W28,373219,197245,175809,165,42466,221891,49161,59701,10497,50100,104695,10164,2622,1358,231,59,9,40571,235187,442735,655323,586492,478995,348273,186856,82,0.059377959,0.390722811,0.639035071,0.854891417,0.944185253,0.967498576,1,1,Inf,8052,41738,22970,101970,14858,52125,823,102,7,28525,177669,194663,521168,572808,466145,345816,184337,61,0.041747955,0.295166532,0.280972781,0.6798816,0.922155573,0.941543489,1,1,Inf,29
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W29,336001,179430,156394,177,29034,264671,37236,5060,16611,103670,83124,7587,2344,1081,161,64,0,57182,338857,525859,662910,588836,480076,348434,186920,82,0.0836891,0.562952712,0.759014633,0.86478892,0.947958826,0.969682035,1,1,Inf,8002,35898,37111,68101,4905,4140,358,78,2,36527,213567,231774,589269,577713,470285,346174,184415,63,0.053459336,0.354804894,0.334538075,0.7687217,0.930052064,0.949905673,1,1,Inf,30
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W30,300316,159398,140703,215,16962,263487,17102,2765,42305,88506,20278,4478,1763,952,132,47,2,99487,427363,546137,667388,590599,481028,348566,186967,84,0.145604866,0.709990231,0.788283503,0.870630625,0.950797055,0.971604933,1,1,Inf,5597,24258,83516,39205,2958,3011,337,72,1,42124,237825,315290,628474,580671,473296,346511,184487,64,0.061650863,0.395105395,0.455083442,0.819865972,0.934814106,0.955987445,1,1,Inf,31
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W31,232026,123511,108425,90,17756,206782,6272,1216,52442,31193,12085,4263,1796,918,169,47,3,151929,458556,558222,671651,592395,481946,348735,187014,87,0.222356707,0.761812044,0.805726757,0.876191855,0.95368841,0.973459157,1,1,Inf,3850,18974,92370,14815,2949,2058,303,61,2,45974,256799,407660,643289,583620,475354,346814,184548,66,0.067285556,0.426627437,0.5884085,0.83919265,0.93956166,0.960144298,1,1,Inf,32
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W32,232182,123474,108616,92,18110,209649,4002,421,41582,14698,8492,2903,1187,566,115,34,3,193511,473254,566714,674554,593582,482512,348850,187048,90,0.283214322,0.786230247,0.817983944,0.879978919,0.955599344,0.974602392,1,1,Inf,5894,56667,90646,9479,2300,1305,236,77,0,51868,313466,498306,652768,585920,476659,347050,184625,66,0.075911759,0.520769926,0.71924517,0.851558332,0.943264398,0.962780204,1,1,Inf,33
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W33,229662,118880,110690,92,7342,218707,2955,658,78640,8017,5395,2066,963,523,110,45,3,272151,481271,572109,676620,594545,483035,348960,187093,93,0.398308421,0.799549116,0.825770982,0.882674087,0.957149665,0.975658774,1,1,Inf,22972,76471,28700,5627,1675,1121,193,95,1,74840,389937,527006,658395,587595,477780,347243,184720,67,0.109532584,0.64781336,0.76067019,0.858898947,0.945960957,0.965044457,1,1,Inf,34
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W34,183126,95377,87653,96,5495,175093,2027,511,50237,7686,5701,2466,1067,505,114,51,3,322388,488957,577810,679086,595612,483540,349074,187144,96,0.471833119,0.812318085,0.833999694,0.885891069,0.958867413,0.976678799,1,1,Inf,48610,44234,15911,5140,1980,1161,222,65,0,123450,434171,542917,663535,589575,478941,347465,184785,67,0.180676075,0.721300554,0.783635818,0.865604254,0.949148531,0.967389504,1,1,Inf,35
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W35,121633,63279,58313,41,4864,115663,936,170,25016,5465,4281,1894,759,388,84,26,2,347404,494422,582091,680980,596371,483928,349158,187170,98,0.508445454,0.821397244,0.840178806,0.888361857,0.960089316,0.977462501,1,1,Inf,42165,24346,11804,4000,1378,748,158,54,1,165615,458517,554721,667535,590953,479689,347623,184839,68,0.242386944,0.761747252,0.800673481,0.870822392,0.951366954,0.968900353,1,1,Inf,36
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W36,108313,55286,52974,53,1660,105859,680,114,12420,4259,3538,1416,584,287,75,27,0,359824,498681,585629,682396,596955,484215,349233,187197,98,0.526622828,0.828472841,0.845285486,0.890209078,0.96102949,0.978042199,1,1,Inf,63975,11043,6888,2635,1036,643,119,46,2,229590,469560,561609,670170,591989,480332,347742,184885,70,0.336017984,0.7800933,0.810615486,0.87425984,0.953034796,0.970199117,1,1,Inf,37
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W37,95180,48659,46487,34,507,94124,493,56,8108,3132,2540,1097,404,194,51,15,0,367932,501813,588169,683493,597359,484409,349284,187212,98,0.538489346,0.833676121,0.848951673,0.891640152,0.961679884,0.97843405,1,1,Inf,61219,8602,6127,2431,958,601,127,62,5,290809,478162,567736,672601,592947,480933,347869,184947,75,0.425615462,0.794384046,0.819459079,0.877431163,0.954577067,0.971413047,1,1,Inf,38
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W38,63702,32529,31139,34,586,62631,437,48,6423,2347,2164,901,403,194,48,53,1,374355,504160,590333,684394,597762,484603,349332,187265,99,0.547889771,0.837575258,0.852075148,0.892815538,0.962328668,0.978825901,1,1,Inf,36271,6319,5209,2316,880,462,113,33,2,327080,484481,572945,674917,593827,481395,347982,184980,77,0.478700127,0.804881979,0.826977648,0.880452465,0.955993767,0.972346219,1,1,Inf,39
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W39,43281,22007,21252,22,235,42670,360,16,4991,2497,1949,883,337,148,45,76,0,379346,506657,592282,685277,598099,484751,349377,187341,99,0.555194382,0.841723595,0.854888297,0.893967441,0.962871199,0.979124839,1,1,Inf,20240,5320,4230,1719,687,356,105,58,0,347320,489801,577175,676636,594514,481751,348087,185038,77,0.508322515,0.813720246,0.833083147,0.882694959,0.957099758,0.973065286,1,1,Inf,40
-856336.3149,7036491.651,2021/12/13 00:00:00+00,2021-W40,23634,11869,11745,20,39,23355,228,12,2816,1287,1218,608,265,114,54,252,0,382162,507944,593500,685885,598364,484865,349431,187593,99,0.559315758,0.843861724,0.856646334,0.894760598,0.963297819,0.979355102,1,1,Inf,9245,3195,2757,1150,427,247,61,165,1,356565,492996,579932,677786,594941,481998,348148,185203,78,0.521853097,0.819028189,0.837062547,0.884195174,0.95778718,0.973564189,1,1,Inf,41
